"zip","coastal"
"07504",FALSE
"87375",FALSE
"88044",FALSE
"87823",FALSE
"10153",FALSE
"11204",FALSE
"14173",FALSE
"10976",FALSE
"12438",FALSE
"10308",FALSE
"10007",FALSE
"11421",FALSE
"10177",FALSE
"28328",FALSE
"27910",FALSE
"28422",FALSE
"27360",FALSE
"27205",FALSE
"28667",FALSE
"28327",FALSE
"28007",FALSE
"58224",FALSE
"58006",FALSE
"44112",FALSE
"45336",FALSE
"43724",FALSE
"43786",FALSE
"43531",FALSE
"45354",FALSE
"43030",FALSE
"44682",FALSE
"45041",FALSE
"45618",FALSE
"43403",FALSE
"73033",FALSE
"74636",FALSE
"74943",FALSE
"97021",FALSE
"97756",FALSE
"97374",FALSE
"97850",FALSE
"97541",FALSE
"97499",FALSE
"15546",FALSE
"15665",FALSE
"15701",FALSE
"16444",FALSE
"15434",FALSE
"18935",FALSE
"15432",FALSE
"15324",FALSE
"16749",FALSE
"19066",FALSE
"83544",FALSE
"83716",FALSE
"83553",FALSE
"61420",FALSE
"60154",FALSE
"62865",FALSE
"62059",FALSE
"61936",FALSE
"60624",FALSE
"61955",FALSE
"62273",FALSE
"60928",FALSE
"60457",FALSE
"60304",FALSE
"46219",FALSE
"46120",FALSE
"47401",FALSE
"46984",FALSE
"46117",FALSE
"46635",FALSE
"51341",FALSE
"50231",FALSE
"51645",FALSE
"50594",FALSE
"50847",FALSE
"50171",FALSE
"66215",FALSE
"66621",FALSE
"67340",FALSE
"40351",FALSE
"42320",FALSE
"40336",FALSE
"42037",FALSE
"41653",FALSE
"42721",FALSE
"41612",FALSE
"41749",FALSE
"41006",FALSE
"71465",FALSE
"71222",FALSE
"70449",FALSE
"71417",FALSE
"70422",FALSE
"70763",FALSE
"70648",FALSE
"04489",FALSE
"04267",FALSE
"04926",FALSE
"03906",FALSE
"01220",FALSE
"02199",FALSE
"01199",FALSE
"02110",FALSE
"49948",FALSE
"48630",FALSE
"49074",FALSE
"48085",FALSE
"48014",FALSE
"48853",FALSE
"55424",FALSE
"55421",FALSE
"56125",FALSE
"56056",FALSE
"55087",FALSE
"39483",FALSE
"38921",FALSE
"39140",FALSE
"39108",FALSE
"38637",FALSE
"38655",FALSE
"39664",FALSE
"39406",FALSE
"65020",FALSE
"63665",FALSE
"63370",FALSE
"63559",FALSE
"64123",FALSE
"63385",FALSE
"65793",FALSE
"64030",FALSE
"65664",FALSE
"63456",FALSE
"59344",FALSE
"59911",FALSE
"59034",FALSE
"59735",FALSE
"68362",FALSE
"68379",FALSE
"69341",FALSE
"89129",FALSE
"03574",FALSE
"03586",FALSE
"03280",FALSE
"03754",FALSE
"99547",FALSE
"90404",FALSE
"53599",FALSE
"21626",TRUE
"02462",FALSE
"59648",FALSE
"70773",FALSE
"66223",FALSE
"01452",FALSE
"01054",FALSE
"01960",FALSE
"78352",FALSE
"98195",FALSE
"10111",FALSE
"74446",FALSE
"79329",FALSE
"75848",FALSE
"12943",FALSE
"13902",FALSE
"45864",FALSE
"82051",FALSE
"36083",FALSE
"35960",FALSE
"85533",FALSE
"36904",FALSE
"84536",FALSE
"86535",FALSE
"95555",TRUE
"94133",FALSE
"95421",TRUE
"81648",FALSE
"80428",FALSE
"06376",TRUE
"19709",TRUE
"20019",FALSE
"33109",TRUE
"32570",FALSE
"83302",FALSE
"83873",FALSE
"47250",FALSE
"30530",FALSE
"60438",FALSE
"33897",FALSE
"41175",FALSE
"62076",FALSE
"60107",FALSE
"71220",FALSE
"04109",TRUE
"30734",FALSE
"66959",FALSE
"71254",FALSE
"01521",FALSE
"55605",TRUE
"56117",FALSE
"38676",FALSE
"17951",FALSE
"15060",FALSE
"15055",FALSE
"19004",FALSE
"15531",FALSE
"29450",FALSE
"29574",FALSE
"29488",FALSE
"29620",FALSE
"29009",FALSE
"29733",FALSE
"29669",FALSE
"29148",FALSE
"29133",FALSE
"57106",FALSE
"57429",FALSE
"37774",FALSE
"37046",FALSE
"37351",FALSE
"37246",FALSE
"37847",FALSE
"38050",FALSE
"37880",FALSE
"76531",FALSE
"78622",FALSE
"79739",FALSE
"79226",FALSE
"79103",FALSE
"38254",FALSE
"75474",FALSE
"75949",FALSE
"77422",TRUE
"76801",FALSE
"78237",FALSE
"77713",FALSE
"78061",FALSE
"75766",FALSE
"76523",FALSE
"75942",FALSE
"79344",FALSE
"78019",FALSE
"75225",FALSE
"75209",FALSE
"84775",FALSE
"05487",FALSE
"05404",FALSE
"05653",FALSE
"24319",FALSE
"22407",FALSE
"23086",FALSE
"24142",FALSE
"98288",FALSE
"98276",FALSE
"98416",FALSE
"99140",FALSE
"99023",FALSE
"26508",FALSE
"26444",FALSE
"26056",FALSE
"25275",FALSE
"25252",FALSE
"25002",FALSE
"26412",FALSE
"25003",FALSE
"26679",FALSE
"25541",FALSE
"26456",FALSE
"98107",FALSE
"53901",FALSE
"53583",FALSE
"53953",FALSE
